open,high,low,close,volume
267.4,269.28,265.6201,266.95,2437860
265.45,269.135,265.08,268.41,3198903
266.35,267.98,264.59,266.76,3817937
259.01,267.43,258.61,266.68,4856276
257.6,260.55,256.22,257.82,3635124
254.43,259.58,252.88,258.59,3521389
252.5,253.81,244.65,253.69,4609520
252.51,253.0,247.64,249.2,2901346
255.0,256.52,253.25,254.14,3637012
249.45,254.47,248.832,253.37,3400001
247.76,250.19,246.11,249.12,2900556
243.74,249.8,243.64,249.18,4138168
243.125,245.69,241.33,245.55,3731946
241.44,242.37,237.945,239.66,4243294
236.73,242.47,234.3401,241.82,5142993
237.0,239.98,236.14,239.39,3426508
232.86,236.63,232.07,236.16,3653461
228.95,233.36,226.32,232.41,6700068
231.175,232.78,224.4401,229.33,15428144
246.0,249.34,243.66,245.48,7948259
238.5,242.64,238.02,240.9,4232658
238.065,240.805,232.93,236.22,4908923
239.68,241.775,237.4,238.81,4635204
240.28,243.2999,235.89,238.57,4870299
239.55,241.53,238.27,240.7,3363708
239.77,241.77,236.73,239.06,3321717
229.72,237.58,227.51,235.48,4325895
231.0,232.57,222.02,229.55,5656108
217.12,236.3,215.1636,235.31,7302808
232.56,233.05,217.28,221.03,6849996
219.24,232.29,214.5,225.78,7797889
238.0,240.16,226.88,227.48,7407096
242.71,250.61,242.53,243.49,5309626
248.22,252.79,247.23,249.98,4080832
248.03,250.62,243.49,250.34,4413139
242.74,250.89,242.49,248.66,6794972
246.27,247.57,242.07,244.0,3125594
249.71,250.3,245.725,246.21,2889328
251.25,254.32,249.53,250.34,4452220
248.36,250.9,248.2,249.9,3133809
247.31,248.82,245.965,248.45,4753331
241.69,245.205,238.5,243.87,9580084
244.24,246.8,237.224,243.32,7026796
248.33,253.66,246.64,252.29,3853598
252.51,252.57,245.12,246.95,4172239
249.25,254.63,249.0,252.97,3234149
242.745,248.9499,241.68,248.35,4045284
248.8,249.27,243.04,245.8,3862416
250.35,253.1273,245.53,249.63,3849206
255.99,256.7,245.86,248.95,5630570
261.56,266.45,254.75,256.9,8126234
245.95,261.96,245.1823,261.54,6700184
249.75,252.1,246.8019,248.69,3254358
251.58,252.74,247.0146,251.35,4009813
248.75,255.48,248.1,253.21,5342106
254.735,255.99,248.245,250.19,2977699
250.855,252.8099,246.54,252.44,7988809
255.22,257.63,253.05,253.23,3402234
258.1,258.325,254.4104,255.84,3460124
261.08,263.48,256.77,257.75,6292487
261.5,263.845,259.58,261.87,4398107
263.845,264.83,261.1,261.48,5667874
263.65,265.09,262.15,264.74,4884805
262.0,264.36,260.09,264.32,3718678
261.93,263.965,259.83,263.07,4262812
259.0,261.94,257.91,261.28,3925277
255.66,259.28,254.41,259.19,4531538
252.72,256.4,252.02,255.81,3075308
251.1,256.75,250.58,254.7,4801550
250.86,251.95,246.87,249.27,3564400
255.28,256.93,252.02,252.34,3370284
262.98,263.38,252.73,253.44,6128293
265.71,265.72,261.18,263.3,6165096
260.0,265.25,258.1233,264.46,6077652
252.4,262.06,251.84,260.73,8408523
256.05,257.235,251.89,255.7,7203519
250.0,261.8,247.01,258.27,15381890
225.62,229.47,223.73,228.63,7079804
224.32,225.77,221.77,225.66,4485429
222.19,224.3,219.84,224.13,4898355
225.27,226.8104,223.8,224.8,3233293
223.94,226.04,223.15,226.04,3619651
221.98,224.4,220.35,223.26,4759490
224.99,227.45,222.8302,224.26,3982203
225.955,225.955,223.64,224.79,5506837
219.69,222.68,217.38,222.66,3329060
220.87,221.6761,218.01,220.03,2951825
218.0,218.125,214.61,217.75,3485829
217.89,219.59,214.75,217.4,3716816
222.0,222.43,216.8,219.75,3570497
223.91,224.9,220.83,223.18,2619768
223.35,226.711,222.83,223.96,3299701
223.0,224.35,220.75,222.67,2847128
220.55,223.66,220.55,222.65,3873578
221.82,222.49,217.6,219.94,2579498
220.72,221.0493,218.44,219.83,2270512
220.54,221.5942,217.6523,220.25,2095565
223.14,224.42,221.4054,222.78,1810760
223.31,225.4,222.55,224.89,3287238
222.27,224.4446,221.5428,224.41,1186216
222.81,223.74,221.08,221.93,2988137
222.73,227.6847,221.68,223.36,12423200
224.42,226.2,222.98,223.92,4430120
229.035,229.035,220.03,220.17,4152517
229.23,230.2,227.62,228.97,3651346
230.73,231.03,226.88,229.33,3610257
232.25,233.775,230.26,230.82,2757683
230.66,233.89,230.38,232.26,4515741
232.69,233.0,229.13,230.12,3872680
228.4,234.39,227.8,231.72,4769531
238.0,239.35,228.91,230.0,4970449
234.43,238.38,234.22,238.04,4028430
233.55,236.52,233.46,234.75,4791116
230.0,233.74,229.35,233.49,4104195
227.24,229.11,226.67,229.0,3163815
227.5,228.38,225.51,227.39,2656181
227.75,230.36,227.19,227.41,2640253
228.83,229.19,224.27,226.92,2995121
226.73,228.98,225.5115,228.83,4449543
223.35,226.42,222.65,226.13,7189260
223.35,227.2,220.89,222.97,5320740
215.81,222.63,215.2701,222.4,5236434
211.0,214.96,209.7725,214.6,4562901
206.5,210.33,206.19,210.25,2860746
207.0,208.415,205.3701,208.09,3406045
207.46,208.49,204.07,204.99,3986460
210.0,210.4999,206.35,208.99,6372853
209.5,211.41,209.0701,210.92,3247830
211.9,213.03,209.06,210.86,2818216
214.4,215.41,213.48,213.57,3012987
214.16,216.7,212.7809,213.72,3201038
213.64,214.5199,211.93,213.69,3675812
213.48,214.33,210.37,213.6,3934386
206.17,208.115,205.57,207.57,2441535
207.65,207.7,205.8,206.32,2594119
207.77,209.84,207.41,208.25,3334308
204.13,208.13,203.51,206.72,5925250
209.48,211.12,204.26,204.9,6956624
211.99,213.34,209.85,210.43,5258366
215.5,216.25,212.7,212.91,4993343
216.8,218.65,214.385,214.67,8482235
220.8,221.32,216.16,218.39,11193440
230.41,233.34,230.26,232.75,5791002
231.99,232.97,230.67,232.25,3180807
231.21,232.42,230.26,231.75,2733336
231.92,232.6499,230.17,232.2,4715688
232.0,233.145,230.655,232.88,5040092
232.11,233.88,231.12,233.67,2846669
236.4,237.37,232.71,232.96,3350556
233.57,236.12,233.17,235.26,2524389
233.25,233.44,230.46,233.26,3469322
235.1,235.83,231.81,233.02,3142031
229.2,234.95,228.5,234.3,5083566
228.11,229.345,227.0401,228.62,3245342
225.38,227.67,225.02,227.12,3457952
223.75,226.08,223.27,226.0,3554328
219.5,222.83,219.27,222.72,3788265
218.31,220.2,215.798,219.73,3343399
220.63,221.1,215.9,219.35,3548374
220.65,221.32,219.02,221.08,3544264
223.0,224.15,220.77,220.84,3830335
